
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
A E S TECHNOLOGY SYSTEMS INC                                                    	NASDAQ	Mar-81	AEST
A F A PROTECTIVE SYSTEMS INC                                                    	NASDAQ	Feb-88	AFAP
A F C CABLE SYSTEMS INC                                                         	NASDAQ	Nov-99	AFCX
A F C O A                                                                       	NASDAQ	Feb-73	n/a
A F G INDUSTRIES INC                                                            	NYSE	Apr-88	AFG
A F N INC                                                                       	NASDAQ	Jan-93	AMFN
A F P IMAGING CORP                                                              	NASDAQ	Mar-99	AFPC
A F S A L A BANCORP INC                                                         	NASDAQ	Nov-98	AFED
A G ARMENO MINES & MINERALS INC                                                 	NASDAQ	Sep-94	AROYF
A G ASSOCIATES INC                                                              	NASDAQ	Mar-99	AGAI
A G AUTOMOTIVE WAREHOUSES INC                                                   	NASDAQ	Apr-91	AGAWA
A G BAG INTERNATIONAL LTD                                                       	NASDAQ	Jan-99	AGBG
A G C INDUSTRIES INC                                                            	NASDAQ	Oct-73	n/a
A G L RESOURCES INC PFD                                                         	NYSE	May-06	ATG.P
A G M INDUSTRIES INC                                                            	NASDAQ	Jul-83	AGMN
A G P & CO INC                                                                  	NASDAQ	Jan-96	AGPC
A G S COMPUTERS INC                                                             	NYSE	Oct-88	AGS
A H I HEALTHCARE SYSTEMS INC                                                    	NASDAQ	Mar-97	AHIS
A H L SERVICES INC                                                              	NASDAQ	Aug-03	AHLS
A H T CORP                                                                      	NASDAQ	Sep-00	AHTC
A I A INDUSTRIES INC                                                            	NASDAQ	Sep-84	AIAI
A I C PHOTO INC                                                                 	AMEX	Mar-85	APH
A I D INC DE                                                                    	NASDAQ	Jun-78	AIDCA
A I F S INC                                                                     	AMEX	Aug-90	AIF
A I M COS INC                                                                   	AMEX	Jun-71	AIM
A I M STRATEGIC INCOME FUND INC                                                 	AMEX	Jul-96	AST
A I M TELEPHONES INC                                                            	AMEX	Jan-92	AIM
A I N LEASING CORP                                                              	NASDAQ	Oct-85	AINS
A I T S INC                                                                     	NASDAQ	Oct-74	AITS
A J INDUSTRIES INC                                                              	NYSE	Apr-77	AJ
A L C COMMUNICATIONS CORP                                                       	AMEX	Aug-95	ALC
A L T A HEALTH STRATEGIES INC                                                   	NASDAQ	Mar-92	AHSI
A M C A RESOURCES LTD                                                           	NASDAQ	Dec-84	AMCIF
A M COMMUNICATIONS INC                                                          	NASDAQ	Aug-88	AMCI
A M E INC                                                                       	NASDAQ	Sep-89	AMEA
A M F BOWLING INC                                                               	NYSE	Nov-00	PIN
A M F I CORP                                                                    	NASDAQ	Sep-83	AMFI
A M F INC                                                                       	NYSE	Oct-85	AMF
A M F M INC                                                                     	NYSE	Aug-00	AFM
A M I INDUSTRIES INC CO                                                         	NASDAQ	Jan-77	AMIN
A M I SYSTEMS INC                                                               	NASDAQ	Jun-85	AMIS
A M INTERNATIONAL INC                                                           	NYSE	May-93	AM
A M K CORP                                                                      	NYSE	Jun-70	AMK
A M L COMMUNICATIONS INC                                                        	NASDAQ	Aug-02	AMLJ
A M P INC                                                                       	NYSE	Apr-99	AMP
A M S REALSTAR INC                                                              	NASDAQ	May-85	AMSS
A N B CORP                                                                      	NASDAQ	Mar-00	ANBC
A N E F C O INC                                                                 	NASDAQ	May-83	NFCO
A N F I INC                                                                     	NASDAQ	Mar-03	ANFI
A O I COAL COMPANY                                                              	AMEX	Nov-93	AOI
A P F ELECTRONICS INC                                                           	NASDAQ	May-82	APFE
A P GREEN INDUSTRIES INC                                                        	NYSE	Jul-98	APK
A P I INSTRUMENTS CO                                                            	AMEX	Apr-70	APW
A P I TRUST SBI                                                                 	NASDAQ	Apr-83	APIT
A P L CORP                                                                      	NYSE	Oct-86	APL
A P L LTD                                                                       	NYSE	Nov-97	APL
A P PARTS CORP                                                                  	AMEX	Oct-67	AP
A P S INC                                                                       	AMEX	Mar-81	APS
A P W LTD                                                                       	NYSE	Apr-02	APW
