
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
ASKIN SERVICE CORP                                                              	AMEX	Jun-81	ASK
Aspect Communications Corporation                                               	NASDAQ	Sep-05	ASPT
ASPECT DEVELOPMENT INC                                                          	NASDAQ	Jun-00	ASDV
ASPEN BANCSHARES INC                                                            	NASDAQ	May-97	ASBK
ASPEN EXPLORATION CORP                                                          	NASDAQ	Jun-92	ASPN
ASPEN IMAGING INTERNATIONAL INC                                                 	NASDAQ	Jun-96	ARIB
ASPEN LEAF INC                                                                  	NASDAQ	Nov-90	TREE
ASPEN MARINE GROUP INC                                                          	NASDAQ	Apr-94	AMGI
ASPEN SKIING CORP                                                               	NASDAQ	Jun-78	ASKG
Aspen Technology, Inc.                                                          	NASDAQ	Mar-05	AZPNE
ASPEON INC                                                                      	NASDAQ	Oct-00	ASPE
ASSET INVESTORS FUND INC                                                        	NASDAQ	Nov-79	ASTF
ASSISTED LIVING CONCEPTS INC                                                    	AMEX	Oct-01	ALF
ASSIX INTERNATIONAL INC                                                         	NASDAQ	Sep-93	ASIX
Assoc Estates Rlty Corp                                                         	NYSE	Jan-05	AEC-A
ASSOCIATED APPAREL INDS INC                                                     	NYSE	Jun-34	n/a
ASSOCIATED COCA COLA BOTTLING                                                   	NASDAQ	Aug-82	ACOK
ASSOCIATED COMMUNICATIONS CORP D                                                	NASDAQ	Dec-94	ACCMA
ASSOCIATED COMMUNICATIONS CORP D                                                	NASDAQ	Dec-94	ACCMB
ASSOCIATED COMPANIES INC                                                        	NASDAQ	Mar-89	ASCI
ASSOCIATED DRY GOODS CORP                                                       	NYSE	Oct-86	DG
ASSOCIATED ELECTRICAL INDS LTD                                                  	AMEX	May-68	AOE
ASSOCIATED FOOD STORES INC                                                      	AMEX	Jun-75	AFC
ASSOCIATED FREIGHTWAYS INC                                                      	NASDAQ	Apr-77	ASFRA
ASSOCIATED GROUP INC                                                            	NASDAQ	Jan-00	AGRPA
ASSOCIATED GROUP INC                                                            	NASDAQ	Jan-00	AGRPB
ASSOCIATED HOSTS INC                                                            	NASDAQ	Dec-88	AHST
ASSOCIATED MADISON COS INC                                                      	NYSE	Apr-82	AMC
ASSOCIATED MATERIAL INC                                                         	NASDAQ	Apr-02	SIDE
ASSOCIATED MEDICAL DEVICES INC                                                  	NASDAQ	Jan-84	ASMD
ASSOCIATED MORTGAGE INVESTORS                                                   	NASDAQ	Apr-90	ASMS
ASSOCIATED NATURAL GAS CORP                                                     	NYSE	Dec-94	NGA
ASSOCIATED OIL CO                                                               	NYSE	Nov-36	n/a
ASSOCIATED PRODUCTIONS INC                                                      	AMEX	Oct-73	ADU
ASSOCIATED TESTING LABS INC                                                     	AMEX	Mar-65	ASO
ASSOCIATED TRANSPORT INC                                                        	NYSE	Apr-74	ATP
ASSOCIATES FIRST CAPITAL CORP                                                   	NYSE	Dec-00	AFS
ASSOCIATES INVESTMENT CO                                                        	NYSE	Jun-69	ATS
ASTOR HANDPRINTS INC                                                            	NASDAQ	Jan-78	AHAN
ASTRA AB                                                                        	NYSE	Apr-99	A
ASTRA AB                                                                        	NYSE	Apr-99	AAB
ASTRADYNE COMPUTER INDS INC                                                     	NASDAQ	Dec-88	ACII
ASTREX INC                                                                      	AMEX	Mar-92	ASI
ASTRO DRILLING CO                                                               	AMEX	Nov-84	ADC
ASTRO MEDICAL INC                                                               	NASDAQ	Jan-85	ASDI
ASTROCOM CORP                                                                   	NASDAQ	Jul-92	ACOM
ASTRODATA INC                                                                   	AMEX	Sep-70	ADA
ASTROPOWER INC                                                                  	NASDAQ	Jul-03	APWR
ASTROSYSTEMS INC                                                                	NASDAQ	Nov-96	ASTR
ASTROTECH INTERNATIONAL CORP                                                    	AMEX	Aug-88	AIX
ASTROTECH INTERNATIONAL CORP NEW                                                	AMEX	Oct-97	AIX
Asyst Technologies, Inc.                                                        	NASDAQ	Jan-05	ASYTE
AT COMM CORP                                                                    	NASDAQ	Jun-01	ATCM
AT ENTERTAINMENT INC                                                            	NASDAQ	Aug-99	ATEN
AT HOME CORPORATION                                                             	NASDAQ	Sep-01	ATHM
ATALANTA CORP                                                                   	AMEX	Mar-80	ALT
ATALANTA SOSNOFF CAPITAL CORP                                                   	NYSE	Jul-03	ATL
ATCHISON CASTING CORP                                                           	NYSE	Jun-02	FDY
ATCHISON TOPEKA & SANTA FE RY CO                                                	NYSE	May-69	ASF
ATCO INDUSTRIES INC                                                             	AMEX	Dec-80	ATL
ATCOR INC                                                                       	NASDAQ	Aug-87	ATCO
ATEK METALS CNTR INC                                                            	NASDAQ	Sep-93	ATKM
ATHANOR GROUP INC                                                               	NASDAQ	Dec-91	ATHR
ATHENA COMMUNICATIONS CORP                                                      	NASDAQ	Apr-80	ATHC
ATHENA NEUROSCIENCES INC                                                        	NASDAQ	Jun-96	ATHN
ATHENS FEDERAL SAVINGS BANK GA                                                  	NASDAQ	Sep-86	AFSB
ATHEY PRODUCTS CORP                                                             	NASDAQ	Dec-00	ATPC
ATHLONE INDUSTRIES INC                                                          	NYSE	Nov-93	ATH
ATICO FINANCIAL CORP                                                            	AMEX	Aug-73	ATF
ATICO FINANCIAL CORP                                                            	NASDAQ	Mar-91	ATFC
ATKINSON GUY F CO CALIF                                                         	NASDAQ	Apr-98	ATKN
ATLANFED BANCORP INC                                                            	NASDAQ	Mar-95	AFED
ATLANTA BIRMINGHAM & ATLANTIC RY                                                	NYSE	Jan-27	n/a
ATLANTA EXPRESS AIRL CORP                                                       	NASDAQ	Aug-83	ATLX
ATLANTA LA SALLE CORP                                                           	NASDAQ	Oct-81	ALAS
ATLANTIC BANCORPORATION                                                         	NASDAQ	Nov-85	ABAN
ATLANTIC CO                                                                     	AMEX	Nov-68	ATC
ATLANTIC COAST LINE CO                                                          	AMEX	May-71	ALC
ATLANTIC COAST LINE RR CO                                                       	NYSE	Jun-67	AX
ATLANTIC COMMUNITY BANCORP INC                                                  	NASDAQ	Apr-95	ACBI
ATLANTIC CONTROL SYSTEMS INC                                                    	NASDAQ	Oct-74	AICS
ATLANTIC DATA SERVICES INC                                                      	NASDAQ	Nov-03	ADSC
ATLANTIC DEPARTMENT STORES INC                                                  	NASDAQ	Mar-73	ATDS
ATLANTIC ENERGY INC N J                                                         	NYSE	Feb-98	ATE
ATLANTIC EXPRESS INC                                                            	NASDAQ	Nov-90	ATEX
ATLANTIC FINANCIAL CORPORATION                                                  	NASDAQ	Feb-01	AFIC
ATLANTIC FINANCIAL FEDERAL                                                      	NASDAQ	Jan-90	ATLF
ATLANTIC GROUP INC                                                              	NASDAQ	Nov-91	ATLG
ATLANTIC GULF & WEST INDIES SS                                                  	NYSE	Apr-55	n/a
ATLANTIC GULF COMMUNITIES CORP                                                  	NASDAQ	Dec-98	AGLF
ATLANTIC INDUSTRIES INC                                                         	NASDAQ	Sep-75	AIND
Atlantic Liberty Financial Corporation                                          	NASDAQ	Jun-06	ALFC
ATLANTIC OIL CORP                                                               	NASDAQ	Feb-83	ATOC
ATLANTIC PEPSI COLA BOTTLING                                                    	NASDAQ	Mar-79	ABOT
ATLANTIC PERMANENT SVGS BK FSB                                                  	NASDAQ	Feb-89	APER
ATLANTIC PREMIUM BRANDS LTD                                                     	AMEX	Jun-03	ABR
Atlantic Realty Trust                                                           	NASDAQ	Mar-06	ATLRS
ATLANTIC RESEARCH CORP                                                          	NASDAQ	Jan-88	ATRC
ATLANTIC RESH CORP                                                              	AMEX	Dec-67	ARS
ATLANTIC RESTAURANT VENT INC                                                    	NASDAQ	May-88	ARVI
ATLANTIC RICHFIELD CO                                                           	NYSE	Apr-00	ARC
ATLANTIC STEEL CO                                                               	NASDAQ	Aug-79	ATST
ATLANTIC TECHNOLOGY VENTURES INC                                                	NASDAQ	Aug-01	ATLC
ATLANTIC TELECASTING CORP                                                       	NASDAQ	Mar-81	ATTV
Atlantic Tele-Network, Inc.                                                     	AMEX	May-06	ANK
ATLANTIC THRIFT CTRS INC                                                        	AMEX	Mar-66	ATH
ATLANTICA DEL GOLFO SUGAR CO                                                    	AMEX	Dec-62	AGC
ATLANTIS GROUP INC NEW                                                          	NASDAQ	May-96	ATLA
ATLANTIS MINING & MFG CO INC                                                    	NASDAQ	Jul-89	AMMI
ATLAS AIR WORLDWIDE HOLDINGS INC                                                	NYSE	Sep-03	CGO
ATLAS CHEMICAL INDUSTRIES INC                                                   	NYSE	Jul-71	ACI
ATLAS CONSOLIDATED MNG & DEV CP                                                 	AMEX	Apr-95	ACM
ATLAS CORP                                                                      	NYSE	Aug-97	AZ
ATLAS CR CORP                                                                   	NYSE	Apr-66	ATC
ATLAS GEN INDS INC                                                              	AMEX	Sep-64	AWO
ATLAS HOTELS INC                                                                	NASDAQ	Feb-82	AHTL
ATLAS SEWING CTRS INC                                                           	AMEX	Sep-65	ASW
ATLAS TACK CORP                                                                 	NYSE	Nov-55	n/a
ATLAS VAN LINES INC                                                             	AMEX	Oct-84	AVL
ATOMIC BURRITO INC                                                              	NASDAQ	Mar-01	ATOM
ATPLAN INC                                                                      	NASDAQ	Feb-01	APLN
ATRATECH INC                                                                    	NASDAQ	Feb-92	ATRA
ATRIA COMMUNITIES INC                                                           	NASDAQ	Sep-98	ATRC
ATRIA SOFTWARE INC                                                              	NASDAQ	Aug-96	ATSW
ATRIX INTERNATIONAL INC                                                         	NASDAQ	Jun-99	ATXI
ATRIX LABORATORIES INC                                                          	NASDAQ	Nov-04	ATRX
ATTENTION MEDICAL CO                                                            	NASDAQ	Jun-93	ATMD
ATTWOODS PLC                                                                    	NYSE	Mar-95	A
AU OPTRONICS CORP                                                               	NYSE	Aug-05	AUO.T
AUBURN AUTOMOBILE CO                                                            	NYSE	Apr-40	n/a
AUDEC CORP                                                                      	NASDAQ	May-88	ADUC
AUDIO COMMUNICATIONS NETWORK INC                                                	AMEX	Oct-98	ANI
AUDIO KING INC                                                                  	NASDAQ	Jun-97	AUDK
AUDIO VISUAL SERVICES CORP                                                      	NYSE	Mar-01	AVC
AUDIOHIGHWAY COM                                                                	NASDAQ	Jan-01	AHWY
AUDIOSCIENCE INC                                                                	NASDAQ	Jun-93	AUDS
AUDIOTRONICS CORP                                                               	AMEX	Feb-90	ADO
AUDITS & SURVEYS WORLDWIDE INC                                                  	AMEX	Mar-99	ASW
AUDRE RECOGNITION SYSTEMS INC                                                   	AMEX	Jul-95	ARS
AUDREY RESOURCES INC                                                            	NASDAQ	Nov-95	AUYMF
AUGAT INC                                                                       	NYSE	Dec-96	AUG
AUGMENT SYSTEMS INC                                                             	NASDAQ	Jul-98	AUGS
August Technology Corporation                                                   	NASDAQ	Feb-06	AUGT
Ault Incorporated                                                               	NASDAQ	Oct-05	AULTE
Ault Incorporated                                                               	NASDAQ	Jan-06	AULT
AURA SYSTEMS INC                                                                	NASDAQ	Jun-99	AURA
AURIZON MINES LTD                                                               	NYSE	Sep-05	AZK
AURORA BIOSCIENCES CORP                                                         	NASDAQ	Jul-01	ABSC
AURORA ELECTRONICS INC                                                          	AMEX	Dec-97	AUR
AURORA ENVIRONMENTAL INC                                                        	NASDAQ	Jun-95	AURE
AURORA FOODS INC                                                                	NYSE	Jul-03	AOR
AURORA PRODUCTS CORP                                                            	NYSE	May-71	AUR
AURUM SOFTWARE INC                                                              	NASDAQ	Aug-97	AURM
AUSIMONT N V                                                                    	NYSE	May-90	AUS
AUSPEX SYSTEMS INC                                                              	NASDAQ	May-03	ASPX
AUSTIN BANCSHARES CORP                                                          	NASDAQ	Apr-82	AUST
AUSTIN NICHOLS & CO INC                                                         	NYSE	Jan-69	ANO
AUSTINS INTERNATIONAL INC                                                       	NASDAQ	Feb-97	AUST
AUSTINS STEAKS & SALOON INC                                                     	NASDAQ	Nov-97	STAK
AUSTRAL OIL INC                                                                 	AMEX	Apr-78	AOC
AUSTRALIAN CORPORATE HLDG LTD                                                   	NASDAQ	Apr-88	ACHLF
AUSTRIA FUND INC                                                                	NYSE	Apr-02	OST
AUSTRIAN CR ANSTALT                                                             	NYSE	Aug-32	n/a
AUSTRON INC                                                                     	NASDAQ	Jun-88	ATRN
AUTEX INC                                                                       	NASDAQ	Jan-77	ATEX
AUTHENTIC FITNESS CORP                                                          	NYSE	Dec-99	ASM
AUTHENTIC SPECIALTY FOODS INC                                                   	NASDAQ	Jun-98	ASFD
AUTHENTICOLOR INC                                                               	NASDAQ	Jan-94	ATCR
AUTHORISZOR INC                                                                 	NASDAQ	Mar-02	AUTH
AUTHORIZED DISTRIBUTION NETWORK                                                 	NASDAQ	Nov-90	ADNI
AUTO DEPOT INC                                                                  	NASDAQ	Feb-92	AUTDA
AUTO KNITTER HOSIERY INC                                                        	NYSE	Jan-27	n/a
AUTO SWAP U S A INC                                                             	NASDAQ	Oct-92	SWAP
AUTO TRAIN CORP                                                                 	AMEX	Sep-80	ATC
AUTO TROL TECHNOLOGY CORP                                                       	NASDAQ	Oct-97	ATTC
AUTOBANC INC                                                                    	NASDAQ	Dec-91	NOTE
AUTOBOND ACCEPTANCE CORP                                                        	AMEX	Oct-99	ABD
Autobytel Inc.                                                                  	NASDAQ	Jun-05	ABTLE
AUTOCAM CORP                                                                    	NASDAQ	Feb-00	ACAM
AUTOCAR CO                                                                      	NYSE	Aug-53	n/a
AUTODIE CORP                                                                    	NASDAQ	Dec-91	ADIE
AUTODYNAMICS INC                                                                	NASDAQ	Jun-84	AUDY
AUTODYNAMICS INC                                                                	NASDAQ	Jun-84	AUDYA
AUTOFINANCE GROUP INC                                                           	NASDAQ	Sep-95	AUFN
AUTOIMMUNE INC                                                                  	NASDAQ	May-04	AIMM
AutoImmune Inc.                                                                 	NASDAQ	Jan-06	AIMM
AUTOINFO INC                                                                    	NASDAQ	Jul-98	AUTO
AUTOLEND GROUP INC                                                              	NASDAQ	May-96	CARS
AUTOLOGIC INFORMATION INTL INC                                                  	NASDAQ	Nov-01	AIII
AUTOMATED BUILDING COMPONENTS IN                                                	AMEX	Jan-79	ATD
AUTOMATED INFORMATION INDS INC                                                  	NASDAQ	Jun-73	AINF
AUTOMATED MARKETING SYS INC                                                     	NASDAQ	Sep-82	AMKT
AUTOMATED MICROSYSTEMS INC                                                      	NASDAQ	Mar-86	ATMS
AUTOMATED SECURITY HOLDINGS PLC                                                 	NYSE	Sep-96	ASI
AUTOMATED SYSTEMS INC                                                           	NASDAQ	Jul-90	ASII
AUTOMATED TECHNOLOGY CORP                                                       	NASDAQ	Nov-75	ATCP
AUTOMATIC SERVICE CO                                                            	AMEX	Sep-76	AUS
AUTOMATIC SWITCH CO                                                             	AMEX	May-85	ASV
AUTOMATION INDUSTRIES INC                                                       	NYSE	May-78	AII
AUTOMATIX INC                                                                   	NASDAQ	Nov-89	AITX
AUTOMEDIX SCIENCES INC                                                          	NASDAQ	Oct-90	AMED
AUTOMOBILE PROTECTION CORP APCO                                                 	NASDAQ	Jul-99	APCO
AUTOMOCO CORP                                                                   	NASDAQ	Jan-83	AUMO
AUTOMOTIVE FRANCHISE                                                            	NASDAQ	Feb-88	AMFC
AUTOMOTIVE INDUSTRIES HLDG INC                                                  	NASDAQ	Aug-95	AIHI
AUTOMOTIVE INDUSTRIES INC                                                       	NASDAQ	Feb-90	AUIN
AUTONOMOUS TECHNOLOGIES CORP                                                    	NASDAQ	Apr-99	ATCI
Autonomy Corporation plc                                                        	NASDAQ	Dec-04	AUTN
AUTONUMERICS INC                                                                	NASDAQ	Apr-81	ATNW
AUTOSALES CORP                                                                  	NYSE	Jul-32	n/a
AUTOSPA AUTOMALLS INC                                                           	NASDAQ	Jan-89	MALL
AUTOSPA CORP                                                                    	NASDAQ	Feb-89	LUBE
AUTOTROL CORP                                                                   	NASDAQ	Oct-93	AUTR
AUTOWEB COM INC                                                                 	NASDAQ	Aug-01	AWEB
AUXTON COMPUTER ENTERPRISES                                                     	NASDAQ	Jun-87	AUXT
AVADO BRANDS INC                                                                	NASDAQ	Jun-01	AVDO
AVALON CAPITAL INC                                                              	NASDAQ	Nov-98	MIST
AVALON CORP                                                                     	NYSE	Jan-93	AVL
Avalon Correctional Services, Inc.                                              	NASDAQ	Feb-05	CITY
AVALON DIGITAL MARKETING SYS INC                                                	NASDAQ	Jul-03	AVLN
AVALON PROPERTIES INC                                                           	NYSE	Jun-98	AVN
Avanir Pharmaceutical                                                           	AMEX	Apr-06	AVN.R
AVANIR PHARMACEUTICALS                                                          	AMEX	Jan-06	AVN
AVANT CORP                                                                      	NASDAQ	Jun-02	AVNT
AVANTE GARDE COMPUTING INC                                                      	NASDAQ	Jan-90	AVGA
AVANTEK INC                                                                     	NASDAQ	Nov-91	AVAK
AVANTGO INC                                                                     	NASDAQ	Feb-03	AVGO
AVATEX CORP                                                                     	NYSE	Jan-99	AAV
AVAX TECHNOLOGIES INC                                                           	NASDAQ	Aug-03	AVXT
AVCO CORP                                                                       	NYSE	Feb-85	AV
AVECOR CARDIOVASCULAR INC                                                       	NASDAQ	Mar-99	AVEC
AVEMCO CORP                                                                     	NYSE	Jun-97	AVE
AVENOR INC                                                                      	NYSE	Jul-98	ANR
Aventis S.A.                                                                    	NYSE	Dec-04	AVE
AVENUE ENTERTAINMENT GROUP INC                                                  	AMEX	Apr-01	PIX
AVERT INC                                                                       	NASDAQ	Aug-01	AVRT
AVERY COAL CO                                                                   	NASDAQ	Apr-82	AVCL
AVERY INC                                                                       	NASDAQ	Mar-91	AVRY
AVESIS INC                                                                      	NASDAQ	Oct-92	AVSS
AVIALL INC                                                                      	NYSE	Nov-85	AVI
AVIATION DISTRIBUTORS INC                                                       	NASDAQ	Sep-97	ADIN
AVIATION GENERAL INC                                                            	NASDAQ	Sep-02	AVGE
AVIATION GROUP INC                                                              	NASDAQ	Jan-86	LIFT
AVIATION SALES CO                                                               	NYSE	Dec-01	AVS
AVIDYN INC                                                                      	NASDAQ	Jan-03	ADYN
AVIEN INC                                                                       	AMEX	Dec-70	AVN
AVINO MINES & RESOURCES LTD                                                     	NASDAQ	Jul-92	AVMRF
AVIRON                                                                          	NASDAQ	Jan-02	AVIR
AVIS GROUP HOLDINGS INC                                                         	NYSE	Feb-01	AVI
AVIS INC                                                                        	NYSE	Jul-77	AVS
AVIS INDUSTRIAL CORP                                                            	AMEX	Apr-71	AVS
AVITAR INC                                                                      	NASDAQ	Oct-92	AVIT
AVIVA PETROLEUM INC                                                             	AMEX	Apr-99	AVV
AVON RENT A CAR & TRUCK CORP                                                    	NASDAQ	Mar-91	AVON
AVONDALE CORP                                                                   	AMEX	May-64	AVD
AVONDALE INDUSTRIES INC                                                         	NASDAQ	Jul-99	AVDL
AVONDALE MILLS                                                                  	AMEX	Jul-86	AVD
AVTEAM INC                                                                      	NASDAQ	Mar-01	AVTM
AVTEK CORP                                                                      	NASDAQ	Apr-73	AVTK
AWARD SOFTWARE INTERNATIONAL INC                                                	NASDAQ	Sep-98	AWRD
AXCESS INC                                                                      	NASDAQ	Sep-02	AXSI
Axeda Systems Inc                                                               	NASDAQ	Mar-05	XEDA
Axeda Systems Inc                                                               	NASDAQ	Aug-05	XEDAC
AXENT TECHNOLOGIES INC                                                          	NASDAQ	Dec-00	AXNT
AXIA CORP                                                                       	NYSE	Oct-84	AX
AXIOHM TRANSACTION SOLUTIONS INC                                                	NASDAQ	Oct-99	AXHM
AXIOM SYSTEMS INC                                                               	NASDAQ	Sep-88	AXIM
AXLON INC                                                                       	NASDAQ	Nov-87	AXLN
AXM Pharma Inc.                                                                 	NYSE	Sep-05	AXJ
AXM Pharma, Inc.                                                                	AMEX	Jun-06	AXJ
AXOGEN LIMITED                                                                  	AMEX	Dec-99	AXG
AXS-ONE INC                                                                     	NYSE	Sep-05	AXO
AXYS PHARMACEUTICALS INC                                                        	NASDAQ	Nov-01	AXPH
AYDIN CORP                                                                      	NYSE	Apr-99	AYD
AYRSHIRE COLLIERIES CORP                                                        	AMEX	Oct-69	APK
AZCON CORP                                                                      	NASDAQ	Mar-78	AZNC
AZTEC ENERGY CORP                                                               	NASDAQ	May-94	AZCE
AZTEC OIL & GAS CO                                                              	NYSE	Feb-76	AOG
AZTEC RESOURCES CORP                                                            	NASDAQ	Dec-86	AZCO
AZTEC TECHNOLOGY PARTNERS INC                                                   	NASDAQ	May-01	AZTC
AZTECH INTERNATIONAL LTD                                                        	NASDAQ	Dec-91	AZIN
AZUREL LTD                                                                      	NASDAQ	Apr-00	AZUR
AZURIX CORP                                                                     	NYSE	Mar-01	AZX
B & H BULK CARRIERS LTD                                                         	NASDAQ	Jun-93	BULKF
B A C M INDUSTRIES LTD                                                          	AMEX	May-70	BCM
B A E SYSTEMS CANADA INC                                                        	AMEX	Apr-01	BAE
B A MERCHANT SERVICES INC                                                       	NYSE	Apr-99	BPI
B A T INDUSTRIES LTD                                                            	AMEX	Jul-80	BTI
B B & T FINANCIAL CORP                                                          	NASDAQ	Feb-95	BBTF
B B D O INTERNATIONAL INC                                                       	NASDAQ	Aug-86	BBDO
B B I INC                                                                       	AMEX	May-73	BBI
B B N CORP                                                                      	NYSE	Aug-97	BBN
B B REAL ESTATE INVT CORP                                                       	AMEX	Jul-89	BBR
B C A M INTERNATIONAL INC                                                       	NASDAQ	Oct-98	BCAM
B C B FINANCIAL SERVICES CORP                                                   	NASDAQ	Apr-98	BCBF
B C E MOBILE COMMUNICATIONS INC                                                 	NYSE	Oct-99	BCX
B C I GEONETICS INC                                                             	NASDAQ	Jul-88	BCGN
B C I MANAGEMENT LTD                                                            	NASDAQ	Jul-93	BCIAF
B C T INTERNATIONAL INC                                                         	NASDAQ	Sep-01	BCTI
B D I INVESTMENT CORP                                                           	AMEX	Sep-83	BD
B D M INTERNATIONAL INC                                                         	AMEX	Jun-88	BDM
B D M INTERNATIONAL INC NEW                                                     	NASDAQ	Dec-97	BDMI
B E C ENERGY                                                                    	NYSE	Aug-99	BSE
B E I MEDICAL SYS CO INC                                                        	NASDAQ	Jul-02	BMED
B E T PUBLIC LIMITED COMPANY                                                    	NYSE	Jul-96	BEP
B F C CONSTRUCTION CORP                                                         	AMEX	Jan-00	BNC
B F C Financial Corp                                                            	NASDAQ	Jun-06	BFCF
B F I COMMUNICATIONS SYS INC                                                    	NASDAQ	Apr-85	BFXC
B F S BANCORP INC DE                                                            	AMEX	Jul-88	BBK
B F S BANKORP INC                                                               	NASDAQ	Apr-97	BFSI
B F X HOSPITALITY GROUP INC                                                     	AMEX	Dec-00	BFX
B G S SYSTEMS INC                                                               	NASDAQ	Mar-98	BGSS
B H A GROUP HOLDINGS                                                            	NASDAQ	Aug-04	BHAG
B H A GROUP INC                                                                 	NASDAQ	Apr-93	BHAG
B H C COMMUNICATIONS INC                                                        	AMEX	Jul-01	BHC
B H C FINANCIAL INC                                                             	NASDAQ	May-97	BHCF
B H M INDUSTRIES INC                                                            	NYSE	Dec-69	BHM
B I INC                                                                         	NASDAQ	Oct-00	BIAC
B I W CABLE SYSTEMS INC                                                         	NASDAQ	Jul-88	BIWC
B K C SEMICONDUCTORS INC                                                        	NASDAQ	May-98	BKCS
B K L A BANCORP                                                                 	NASDAQ	Nov-93	BKLA
B K W SYSTEMS INC DE                                                            	NASDAQ	Jun-87	BKWS
B L C FINANCIAL SERVICES INC                                                    	AMEX	Dec-00	BCL
B M A CORP                                                                      	NASDAQ	Feb-77	BMAC
B M C INDUSTRIES INC MN                                                         	NYSE	Aug-03	BMM
B M C INTERNATIONAL CORP                                                        	NASDAQ	Aug-84	LITE
B M I CAPITAL INC                                                               	NASDAQ	Nov-82	BMICF
B M J FINANCIAL CORP                                                            	NASDAQ	Feb-97	BMJF
B M R FINANCIAL GROUP INC                                                       	NASDAQ	Dec-93	BMRG
B N F BANCORP INC                                                               	AMEX	Aug-94	BNF
B N H BANCSHARES INC                                                            	NASDAQ	Aug-97	BNHB
B N S CO                                                                        	NYSE	Feb-02	BNS
B P I PACKAGING TECH INC                                                        	NASDAQ	Aug-98	BPIE
B P I RESOURCES LTD                                                             	NASDAQ	Jan-85	BPIRF
B P I SYSTEMS INC                                                               	NASDAQ	Aug-87	BPII
B R C HOLDINGS INC                                                              	NASDAQ	Feb-99	BRCP
B R COMMUNICATIONS                                                              	NASDAQ	Feb-88	BRHF
B R L ENTERPRISES INC                                                           	NASDAQ	Jan-95	BRALF
B S B BANCORP INC                                                               	NASDAQ	Jul-04	BSBN
B S D BANCORP INC                                                               	AMEX	Sep-93	BSD
B S D MEDICAL CORP DE                                                           	NASDAQ	Jan-91	BSDM
B S F CO                                                                        	AMEX	Jun-68	BSF
B S L TECHNOLOGY                                                                	NASDAQ	Aug-83	BSLT
B T G INC                                                                       	NASDAQ	Nov-01	BTGI
B T K INDUSTRIES INC                                                            	AMEX	Mar-85	BTK
B T L CORP                                                                      	NYSE	Jun-60	n/a
B T MORTGAGE INVESTORS                                                          	NYSE	Jun-82	BTM
B T OFFICE PRODUCTS INTL INC                                                    	NYSE	Sep-98	BTF
B T SHIPPING LTD                                                                	NASDAQ	Aug-00	BTBT
B T U ENGINEERING CORP                                                          	AMEX	Jul-79	BTU
B U M INTERNATIONAL INC                                                         	NASDAQ	Dec-95	BUMM
B V D CO                                                                        	NYSE	May-67	BVD
B V R SYSTEMS LTD                                                               	NASDAQ	Feb-03	BVRS
B V R TECHNOLOGIES LTD                                                          	NASDAQ	Aug-03	BVRT
B W A Y CORP                                                                    	NYSE	Feb-03	BY
B W I P INC                                                                     	NYSE	Jul-97	BWF
B Y L BANCORP                                                                   	NASDAQ	Oct-01	BOYL
B2BSTORES COM INC                                                               	NASDAQ	Mar-01	BTBC
BAAN COMPANY NV                                                                 	NASDAQ	Oct-00	BAANF
BABBAGES INC                                                                    	NASDAQ	Dec-94	BBGS
BABBITT B T INC                                                                 	NYSE	Sep-67	BAB
BABCOCK & WILCOX CO                                                             	NYSE	Mar-78	BAW
BABCOCK INDUSTRIES INC                                                          	NASDAQ	Dec-77	BABC
BABY SUPERSTORE INC                                                             	NASDAQ	Feb-97	BSST
BabyUniverse.com                                                                	AMEX	Mar-06	BUN
BACARDI CORP                                                                    	NASDAQ	Dec-86	BACA
BACHE GROUP INC                                                                 	NYSE	Jun-81	BAC
BACK BAY RESTAURANT GROUP INC                                                   	NASDAQ	Apr-99	PAPA
BACOU U S A INC                                                                 	NYSE	Sep-01	BAU
Badger Paper Mills, Inc.                                                        	NASDAQ	Oct-05	BPMI
BAGDAD COPPER CORP                                                              	AMEX	Jun-73	BGD
BAIFIELD INDS INC                                                               	AMEX	Jul-67	BBI
BAILEY CORP                                                                     	NASDAQ	Sep-96	BAIB
BAILEY SELBURN OIL & GAS LTD                                                    	AMEX	Dec-64	BSO
BAIRD CORP                                                                      	NASDAQ	Nov-87	BATM
BAKER BROTHERS INC FL                                                           	NASDAQ	May-82	BAKE
BAKER COMMUNICATIONS INC                                                        	NASDAQ	May-91	BAKR
BAKER GOLD LTD                                                                  	NASDAQ	Mar-85	BKGDF
BAKER INDUSTRIES INC                                                            	NYSE	Jan-78	BAK
BAKER INTERNATIONAL CORP                                                        	NYSE	Apr-87	BKO
BALANCE BAR COMPANY                                                             	NASDAQ	Mar-00	BBAR
BALANCE COMPUTER CORP                                                           	NASDAQ	Nov-83	BCCO
BALANCED CARE CORP                                                              	AMEX	Aug-02	BAL
BALBOA EXPLORATION CO                                                           	NASDAQ	Jul-82	BULB
BALCO ENERGY CORP                                                               	NASDAQ	Jun-83	BLCO
BALDWIN LIMA HAMILTON CORP                                                      	NYSE	Jul-65	B
BALDWIN MONTROSE CHEM INC                                                       	AMEX	Jun-68	BAM
BALDWIN PIANO & ORGAN CO                                                        	NASDAQ	May-01	BPAO
BALDWIN SECURITIES CORP                                                         	AMEX	Dec-90	BAL
